id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
176;Legendarii;Tracy Deonn;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
177;Magia sangelui;Tracy Deonn;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
178;Cat timp infloresc lamaii;Zoulfa Katouh;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
179;Biblioteca invizibila;Genevieve Cogman;SF;PAPERBACK;312;FINALIZATA;null;1.0;2025-03-16;2025-03-16;4.0;
180;Orasul Mascat;Genevieve Cogman;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
181;Carti in flacari;Genevieve Cogman;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
182;Lolita;Vladimir Nabokov;romance;PAPERBACK;376;FINALIZATA;null;1.0;2025-01-26;2025-02-04;1.0;just no
183;Dance of Thieves;Mary E. Pearson;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
184;Hooked;Emily McIntire;romance;PAPERBACK;312;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;smut
185;My dark Romeo;Huntington Parker S., L.J. Shen;romance;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;3.0;smut
186;Mansfield Park;Jane Austen;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
187;Carnaval;Stephanie Garber;;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;
188;O fereastra intunecata;Rachel Gillig;action;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;
189;Doua coroane inlantuite;Rachel Gillig;action;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;4.0;
190;Gallant;V. E. Schwab;horror;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;4.0;
191;Bandita;Franny Billingsley;action;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;3.0;
192;Cercul magic al lunii negre;Cari Thomas;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
193;Hunting Adeline;H. D. Carlton;romance;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;smut
194;Legendar ;Stephanie Garber;romance;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;
195;Finalul;Stephanie Garber;romance;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;
196;A curse of true love;Stephanie Garber;romance;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;
197;The ballad of never after;Stephanie Garber;romance;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;
198;Reckless;Lauren Roberts;romance;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;
199;Fearless;Lauren Roberts;romance;PAPERBACK;0;FINALIZATA;null;1.0;2025-02-03;2025-02-05;5.0;
200;A Fate Inked in Blood;Danielle L. Jensen;;PAPERBACK;435;FINALIZATA;null;1.0;2025-09-03;2026-01-24;0.0;
201;Vow of thieves;Mary E. Pearson;;PAPERBACK;0;NECITITA;null;0.0;;;0.0;
202;When the Moon Hatched;Sarah A. Parker;fantasy;PAPERBACK;234;FINALIZATA;null;1.0;2026-01-24;2026-01-24;0.0;null
203;Lights Out;Navessa Alleen;;PAPERBACK;123;NECITITA;null;0.0;;;0.0;null
